Survey_ID,Eater_Type,Motivation_Animal_Protection,Motivation_Concern_for_Environment,Motivation_Cost,Motivation_Health,Motivation_Religious_Spiritual_Beliefs,Motivation_Social_Influence ,Motivation_Social_Justice_or_World_Hunger,Motivation_Taste_Preferences,Motivation_Following_Food_Trend,Motivation_Feelings_of_Disgust_about_Meat,Age_Transitioned_to_Vegnism,Gender,State,Education,Political,Race_Ethnicity,Religion
507,Omnivore,,,,,,,,,,,,Male,Iowa,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
499,Omnivore,,,,,,,,,,,,Female,Oklahoma,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
494,Vegan,Very Strong,Very Strong,Not at All,Very Strong,Not at All,Somewhat,Mild,Strong,Not at All,Very Strong,33,Female,North Dakota,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
62,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
64,Omnivore,,,,,,,,,,,,Male,Tennessee,Bachelors degree,Moderately Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
72,Omnivore,,,,,,,,,,,,Female,Michigan,Graduate or professional degree,Strongly Liberal,Native American or Alaska Native,Other religion (including two or more)
83,Omnivore,,,,,,,,,,,,Male,Puerto Rico,High school diploma (or equivalent),Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
92,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
94,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Strongly Liberal,White,Jewish
97,Omnivore,,,,,,,,,,,,Female,South Dakota,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
98,Vegan,Somewhat,Somewhat,Very Strong,Mild,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,22,Female,Arkansas,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
102,Omnivore,,,,,,,,,,,,Female,Maine,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
114,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
122,Vegan,Somewhat,Strong,Somewhat,Strong,Mild,Not at All,Not at All,Strong,Not at All,Strong,66,Female,New York,Some education after high school -  no degree,Moderately Liberal,White,Other religion (including two or more)
148,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
150,Omnivore,,,,,,,,,,,,Female,North Carolina,Associates degree,Strongly Liberal,White,Do not actively practice a religion
159,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
166,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Neutral/Centrist,Other race/ethnicity (including two or more),Christian (Catholic -  Protestant -  etc.)
183,Omnivore,,,,,,,,,,,,Female,New York,Graduate or professional degree,Neutral/Centrist,White,Jewish
185,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,16,Female,California,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
200,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
235,Omnivore,,,,,,,,,,,,Female,California,Associates degree,Neutral/Centrist,White,Do not actively practice a religion
236,Omnivore,,,,,,,,,,,,Male,Louisiana,Graduate or professional degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
254,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
265,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelors degree,Neutral/Centrist,White,Jewish
284,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,28,Female,Montana,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
285,Omnivore,,,,,,,,,,,,Female,Texas,Bachelors degree,Moderately Conservative,Hispanic -  Latino -  or Spanish origin,Do not actively practice a religion
294,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associates degree,Neutral/Centrist,White,Do not actively practice a religion
311,Omnivore,,,,,,,,,,,,Male,Minnesota,Bachelors degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
317,Omnivore,,,,,,,,,,,,Male,Washington,Associates degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
354,Omnivore,,,,,,,,,,,,Female,North Carolina,Some education after high school -  no degree,Moderately Liberal,Other race/ethnicity (including two or more),Other religion (including two or more)
359,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelors degree,Moderately Liberal,African American or Black,Christian (Catholic -  Protestant -  etc.)
366,Omnivore,,,,,,,,,,,,Female,California,Associates degree,Moderately Conservative,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
371,Omnivore,,,,,,,,,,,,Male,Texas,High school diploma (or equivalent),Neutral/Centrist,Other race/ethnicity (including two or more),Do not actively practice a religion
376,Omnivore,,,,,,,,,,,,Male,Pennsylvania,Some education after high school -  no degree,Moderately Conservative,White,Do not actively practice a religion
433,Omnivore,,,,,,,,,,,,Female,California,Bachelors degree,Moderately Liberal,Christian (Catholic -  Protestant -  etc.),Buddhist
435,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
445,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,36,Female,California,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
447,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Buddhist
456,Omnivore,,,,,,,,,,,,Female,California,Associates degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
461,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
471,Omnivore,,,,,,,,,,,,Female,Arkansas,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
479,Omnivore,,,,,,,,,,,,Female,North Carolina,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
538,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,18,Female,Georgia,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
564,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
568,Vegetarian,Somewhat,Somewhat,Very Strong,Very Strong,Somewhat,Somewhat,Somewhat,Strong,Mild,Somewhat,19,Male,New Mexico,Associates degree,Strongly Liberal,White,Do not actively practice a religion
577,Omnivore,,,,,,,,,,,,Male,Hawaii,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
580,Omnivore,,,,,,,,,,,,Male,California,Bachelors degree,Strongly Liberal,White,Buddhist
597,Omnivore,,,,,,,,,,,,Female,Montana,Some education after high school -  no degree,Moderately Conservative,White,Do not actively practice a religion
601,Omnivore,,,,,,,,,,,,Female,Indiana,Graduate or professional degree,Neutral/Centrist,White,Do not actively practice a religion
603,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,73,Female,New Hampshire,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
611,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,38,Male,California,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
614,Omnivore,,,,,,,,,,,,Male,North Carolina,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
616,Omnivore,,,,,,,,,,,,Female,Oklahoma,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
622,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
626,Omnivore,,,,,,,,,,,,Male,North Carolina,Bachelors degree,Moderately Conservative,White,Do not actively practice a religion
630,Omnivore,,,,,,,,,,,,Male,Wyoming,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
632,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,20,Female,Nevada,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
641,Omnivore,,,,,,,,,,,,Female,Michigan,Some education after high school -  no degree,Neutral/Centrist,White,Do not actively practice a religion
643,Omnivore,,,,,,,,,,,,Female,Kentucky,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
645,Omnivore,,,,,,,,,,,,Female,Colorado,Graduate or professional degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
647,Vegetarian,Somewhat,Not at All,Not at All,Mild,Not at All,Not at All,Not at All,Strong,Not at All,Very Strong,19,Male,New Mexico,Associates degree,Strongly Liberal,White,Do not actively practice a religion
651,Omnivore,,,,,,,,,,,,Female,Oklahoma,High school diploma (or equivalent),Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
652,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
661,Omnivore,,,,,,,,,,,,Male,Wyoming,Bachelors degree,Strongly Liberal,White,Christian (Catholic -  Protestant -  etc.)
672,Vegan,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,20,Male,North Dakota,Graduate or professional degree,Neutral/Centrist,Indian,Other religion (including two or more)
675,Omnivore,,,,,,,,,,,,Female,West Virginia,Graduate or professional degree,Strongly Liberal,Middle Eastern,Jewish
682,Vegetarian,Very Strong,Very Strong,Very Strong,Very Strong,Not at All,Very Strong,Very Strong,Very Strong,Very Strong,Very Strong,31,Male,Washington,Some education after high school -  no degree,Strongly Liberal,White,Do not actively practice a religion
700,Omnivore,,,,,,,,,,,,Female,California,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
709,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Graduate or professional degree,Neutral/Centrist,Hispanic -  Latino -  or Spanish origin,Christian (Catholic -  Protestant -  etc.)
711,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Moderately Liberal,White,Christian (Catholic -  Protestant -  etc.)
725,Omnivore,,,,,,,,,,,,Female,Georgia,Graduate or professional degree,Moderately Liberal,White,Jewish
744,Omnivore,,,,,,,,,,,,Female,Washington,Some education after high school -  no degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
768,Omnivore,,,,,,,,,,,,Female,Texas,Some education after high school -  no degree,Moderately Conservative,White,Christian (Catholic -  Protestant -  etc.)
779,Omnivore,,,,,,,,,,,,Male,Oklahoma,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
788,Omnivore,,,,,,,,,,,,Female,North Dakota,Bachelors degree,Moderately Liberal,White,Do not actively practice a religion
789,Omnivore,,,,,,,,,,,,Male,Georgia,Associates degree,Neutral/Centrist,White,Do not actively practice a religion
796,Vegetarian,Not at All,Not at All,Strong,Strong,Not at All,Not at All,Not at All,Strong,Not at All,Not at All,26,Female,North Carolina,Bachelors degree,Strongly Liberal,Other race/ethnicity (including two or more),Christian (Catholic -  Protestant -  etc.)
797,Omnivore,,,,,,,,,,,,Female,Washington,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
800,Omnivore,,,,,,,,,,,,Female,Connecticut,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
819,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Buddhist
822,Omnivore,,,,,,,,,,,,Male,Puerto Rico,Bachelors degree,Neutral/Centrist,White,Jewish
839,Vegetarian,Very Strong,Very Strong,Not at All,Very Strong,Strong,Mild,Very Strong,Somewhat,Not at All,Not at All,32,Female,California,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Buddhist
842,Omnivore,,,,,,,,,,,,Male,Kansas,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
847,Omnivore,,,,,,,,,,,,Male,California,Graduate or professional degree,Moderately Liberal,White,Do not actively practice a religion
848,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,50,Female,Oklahoma,Graduate or professional degree,Moderately Liberal,Christian (Catholic -  Protestant -  etc.),Hindu
854,Omnivore,,,,,,,,,,,,Female,West Virginia,Bachelors degree,Strongly Liberal,White,Do not actively practice a religion
886,Omnivore,,,,,,,,,,,,Male,Michigan,Bachelors degree,Strongly Liberal,White,Jewish
894,Omnivore,,,,,,,,,,,,Male,Nebraska,Bachelors degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
900,Omnivore,,,,,,,,,,,,Female,Washington,Bachelors degree,Strongly Liberal,Christian (Catholic -  Protestant -  etc.),Hindu
901,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associates degree,Neutral/Centrist,African American or Black,Christian (Catholic -  Protestant -  etc.)
907,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Bachelors degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Hindu
927,Omnivore,,,,,,,,,,,,Female,Delaware,Graduate or professional degree,Moderately Liberal,Christian (Catholic -  Protestant -  etc.),Christian (Catholic -  Protestant -  etc.)
930,Omnivore,,,,,,,,,,,,Female,Texas,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
962,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,White,Christian (Catholic -  Protestant -  etc.)
966,Omnivore,,,,,,,,,,,,Male,Connecticut,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
975,Omnivore,,,,,,,,,,,,Male,Georgia,Bachelors degree,Strongly Conservative,White,Christian (Catholic -  Protestant -  etc.)
996,Omnivore,,,,,,,,,,,,Female,California,Graduate or professional degree,Neutral/Centrist,Christian (Catholic -  Protestant -  etc.),Do not actively practice a religion
1007,Omnivore,,,,,,,,,,,,Male,Maine,Some education after high school -  no degree,Moderately Conservative,Other race/ethnicity (including two or more),Christian (Catholic -  Protestant -  etc.)
1018,Omnivore,,,,,,,,,,,,Male,Indiana,Some education after high school -  no degree,Moderately Conservative,White,Other religion (including two or more)
1019,Omnivore,,,,,,,,,,,,Male,North Carolina,Less than 12th grade -  no diploma,Neutral/Centrist,White,Do not actively practice a religion
1021,Vegetarian,Mild,Somewhat,Mild,Strong,Not at All,Mild,Mild,Mild,Mild,Somewhat,18,Female,Hawaii,Bachelors degree,Neutral/Centrist,White,Do not actively practice a religion
1029,Omnivore,,,,,,,,,,,,Male,California,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
1031,Omnivore,,,,,,,,,,,,Male,California,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
