Index,Survey ID,Eater Type,"Motivation
Animal Protection","Motivation
Concern for the Environment","Motivation
Cost","Motivation
Health","Motivation
Religious or Spiritual Beliefs","Motivation
Social influence (from friends, family, significant other, etc.)","Motivation
Social justice or world hunger","Motivation
Taste preferences","Motivation
Wanting to follow a food trend","Motivation
Feelings of disgust about meat",Age Transitioned to Veg'nism,Gender,State,Education,Political,Race/Ethnicity,Religion
1,507,Omnivore,,,,,,,,,,,,Male,Iowa,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
2,499,Omnivore,,,,,,,,,,,,Female,Oklahoma,"Some education after high school, no degree",Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
3,494,Vegan,Very Strong,Very Strong,Not at All,Very Strong,Not at All,Somewhat,Mild,Strong,Not at All,Very Strong,33,Female,North Dakota,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
4,62,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
5,64,Omnivore,,,,,,,,,,,,Male,Tennessee,Bachelor’s degree,Moderately Liberal,African American or Black,"Christian (Catholic, Protestant, etc.)"
6,72,Omnivore,,,,,,,,,,,,Female,Michigan,Graduate or professional degree,Strongly Liberal,Native American or Alaska Native,Other religion (including two or more)
8,83,Omnivore,,,,,,,,,,,,Male,Puerto Rico,High school diploma (or equivalent),Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
9,92,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelor’s degree,Neutral/Centrist,White,Do not actively practice a religion
10,94,Omnivore,,,,,,,,,,,,Female,California,"Some education after high school, no degree",Strongly Liberal,White,Jewish
11,97,Omnivore,,,,,,,,,,,,Female,South Dakota,Graduate or professional degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
12,98,Vegan,Somewhat,Somewhat,Very Strong,Mild,Not at All,Not at All,Not at All,Not at All,Not at All,Not at All,22,Female,Arkansas,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
13,102,Omnivore,,,,,,,,,,,,Female,Maine,"Some education after high school, no degree",Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
14,114,Omnivore,,,,,,,,,,,,Female,North Dakota,Graduate or professional degree,Strongly Liberal,White,Do not actively practice a religion
15,122,Vegan,Somewhat,Strong,Somewhat,Strong,Mild,Not at All,Not at All,Strong,Not at All,Strong,66,Female,New York,"Some education after high school, no degree",Moderately Liberal,White,Other religion (including two or more)
16,148,Omnivore,,,,,,,,,,,,Female,California,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
17,150,Omnivore,,,,,,,,,,,,Female,North Carolina,Associate’s degree,Strongly Liberal,White,Do not actively practice a religion
18,159,Omnivore,,,,,,,,,,,,Female,Puerto Rico,High school diploma (or equivalent),Neutral/Centrist,White,Do not actively practice a religion
19,166,Omnivore,,,,,,,,,,,,Male,California,Bachelor’s degree,Neutral/Centrist,Other race/ethnicity (including two or more),"Christian (Catholic, Protestant, etc.)"
20,183,Omnivore,,,,,,,,,,,,Female,New York,Graduate or professional degree,Neutral/Centrist,White,Jewish
21,185,Vegetarian,Not at All,Not at All,Not at All,Very Strong,Not at All,Strong,Not at All,Not at All,Mild,Not at All,16,Female,California,Graduate or professional degree,Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
22,200,Omnivore,,,,,,,,,,,,Female,Massachusetts,Bachelor’s degree,Neutral/Centrist,White,"Christian (Catholic, Protestant, etc.)"
23,235,Omnivore,,,,,,,,,,,,Female,California,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
24,236,Omnivore,,,,,,,,,,,,Male,Louisiana,Graduate or professional degree,Neutral/Centrist,African American or Black,"Christian (Catholic, Protestant, etc.)"
25,254,Omnivore,,,,,,,,,,,,Female,Georgia,High school diploma (or equivalent),Moderately Liberal,White,"Christian (Catholic, Protestant, etc.)"
27,265,Omnivore,,,,,,,,,,,,Female,Arizona,Bachelor’s degree,Neutral/Centrist,White,Jewish
28,284,Vegetarian,Strong,Strong,Not at All,Very Strong,Not at All,Not at All,Mild,Somewhat,Not at All,Not at All,28,Female,Montana,Bachelor’s degree,Moderately Liberal,White,Do not actively practice a religion
29,285,Omnivore,,,,,,,,,,,,Female,Texas,Bachelor’s degree,Moderately Conservative,"Hispanic, Latino, or Spanish origin",Do not actively practice a religion
30,294,Omnivore,,,,,,,,,,,,Female,Puerto Rico,Associate’s degree,Neutral/Centrist,White,Do not actively practice a religion
31,311,Omnivore,,,,,,,,,,,,Male,Minnesota,Bachelor’s degree,Moderately Conservative,White,"Christian (Catholic, Protestant, etc.)"
